Country,Resource,Stocks and flows,CLASSE,Year,Unit,PowerCode,Value
Norway,Crude oil,Opening stock,C,2002,Barrels,Billions,2.634
Norway,Crude oil,Opening stock,C,2003,Barrels,Billions,2.548
Norway,Crude oil,Opening stock,C,2004,Barrels,Billions,2.144
Norway,Crude oil,Opening stock,C,2005,Barrels,Billions,0.84
Norway,Crude oil,Discrepancies,B,2017,Barrels,Billions,-0.166
Norway,Crude oil,Opening stock,C,2007,Barrels,Billions,0.014
Norway,Crude oil,Discrepancies,B,2006,Barrels,Billions,-1.821
Norway,Crude oil,Discrepancies,B,2004,Barrels,Billions,-0.621
Norway,Crude oil,Closing stock,B,2006,Barrels,Billions,0.943
Norway,Crude oil,Closing stock,B,2007,Barrels,Billions,0.773
Norway,Crude oil,Closing stock,B,2008,Barrels,Billions,1.037
Norway,Crude oil,Opening stock,C,2000,Barrels,Billions,0.025
Norway,Crude oil,Closing stock,B,2009,Barrels,Billions,1.013
Norway,Crude oil,Closing stock,B,2011,Barrels,Billions,2.211
Norway,Crude oil,Closing stock,B,2012,Barrels,Billions,2.074
Norway,Crude oil,Closing stock,B,2013,Barrels,Billions,2.029
Norway,Crude oil,Discrepancies,B,2005,Barrels,Billions,0.514
Norway,Crude oil,Closing stock,B,2014,Barrels,Billions,1.993
Norway,Crude oil,Closing stock,B,2016,Barrels,Billions,2.139
Norway,Crude oil,Closing stock,B,2017,Barrels,Billions,1.973
Norway,Crude oil,Closing stock,B,2018,Barrels,Billions,1.339
Norway,Crude oil,Closing stock,B,2019,Barrels,Billions,1.047
Norway,Crude oil,Discrepancies,B,2000,Barrels,Billions,0.395
Norway,Crude oil,Discrepancies,B,2001,Barrels,Billions,0.81
Norway,Crude oil,Discrepancies,B,2002,Barrels,Billions,0.159
Norway,Crude oil,Closing stock,B,2010,Barrels,Billions,2.55
Norway,Crude oil,Discrepancies,B,2019,Barrels,Billions,-0.292
Norway,Crude oil,Discrepancies,B,2018,Barrels,Billions,-0.633
Norway,Crude oil,Discrepancies,B,2016,Barrels,Billions,0.144
Netherlands,Crude oil,Opening stock,B,2017,Barrels,Billions,0.116
Netherlands,Crude oil,Opening stock,B,2018,Barrels,Billions,0.106
Netherlands,Crude oil,Closing stock,B,2012,Barrels,Billions,0.153
Netherlands,Crude oil,Closing stock,B,2013,Barrels,Billions,0.152
Norway,Crude oil,Closing stock,B,2002,Barrels,Billions,2.622
Netherlands,Crude oil,Closing stock,B,2014,Barrels,Billions,0.078
Netherlands,Crude oil,Closing stock,B,2016,Barrels,Billions,0.116
Netherlands,Crude oil,Closing stock,B,2017,Barrels,Billions,0.106
Netherlands,Crude oil,Discrepancies,B,2013,Barrels,Billions,-0.001
Netherlands,Crude oil,Discrepancies,B,2014,Barrels,Billions,-0.074
Netherlands,Crude oil,Discrepancies,B,2015,Barrels,Billions,0.007
Netherlands,Crude oil,Discrepancies,B,2016,Barrels,Billions,0.031
Netherlands,Crude oil,Discrepancies,B,2017,Barrels,Billions,-0.01
Norway,Crude oil,Opening stock,B,2000,Barrels,Billions,1.258
Netherlands,Crude oil,Closing stock,B,2015,Barrels,Billions,0.085
Norway,Crude oil,Closing stock,B,2003,Barrels,Billions,2.871
Norway,Crude oil,Closing stock,B,2004,Barrels,Billions,2.25
Norway,Crude oil,Closing stock,B,2005,Barrels,Billions,2.764
Norway,Crude oil,Discrepancies,B,2008,Barrels,Billions,0.264
Norway,Crude oil,Discrepancies,B,2009,Barrels,Billions,-0.024
Norway,Crude oil,Discrepancies,B,2010,Barrels,Billions,1.537
Norway,Crude oil,Discrepancies,B,2011,Barrels,Billions,-0.339
Norway,Crude oil,Discrepancies,B,2012,Barrels,Billions,-0.137
Norway,Crude oil,Discrepancies,B,2013,Barrels,Billions,-0.045
Norway,Crude oil,Discrepancies,B,2014,Barrels,Billions,-0.037
Norway,Crude oil,Discrepancies,B,2015,Barrels,Billions,0.002
Norway,Crude oil,Discrepancies,B,2007,Barrels,Billions,-0.17
Norway,Crude oil,Discrepancies,B,2003,Barrels,Billions,0.249
Netherlands,Crude oil,Opening stock,B,2016,Barrels,Billions,0.085
Norway,Crude oil,Closing stock,B,2015,Barrels,Billions,1.995
Australia,Crude oil,Extractions,AB,2015,Barrels,Billions,0.076
United States,Crude oil,Closing stock,A,2004,Barrels,Billions,21.371
United States,Crude oil,Closing stock,A,2002,Barrels,Billions,22.677
United States,Crude oil,Closing stock,A,2001,Barrels,Billions,22.446
United States,Crude oil,Closing stock,A,2000,Barrels,Billions,22.045
United States,Crude oil,Total reductions in stock,A,2018,Barrels,Billions,8.932
United States,Crude oil,Total reductions in stock,A,2017,Barrels,Billions,7.435
United States,Crude oil,Total reductions in stock,A,2016,Barrels,Billions,9.564
United States,Crude oil,Total reductions in stock,A,2015,Barrels,Billions,13.419
United States,Crude oil,Total reductions in stock,A,2014,Barrels,Billions,10.348
United States,Crude oil,Closing stock,A,2003,Barrels,Billions,21.891
United States,Crude oil,Downward reappraisals,A,2010,Barrels,Billions,2.295
United States,Crude oil,Downward reappraisals,A,2009,Barrels,Billions,1.226
United States,Crude oil,Downward reappraisals,A,2011,Barrels,Billions,4.038
United States,Crude oil,Downward reappraisals,A,2008,Barrels,Billions,3.547
United States,Crude oil,Extractions,A,2003,Barrels,Billions,2.062
United States,Crude oil,Extractions,A,2002,Barrels,Billions,2.097
United States,Crude oil,Extractions,A,2001,Barrels,Billions,2.118
United States,Crude oil,Extractions,A,2000,Barrels,Billions,2.131
United States,Crude oil,Total additions to stock,A,2018,Barrels,Billions,6.162
United States,Crude oil,Total additions to stock,A,2017,Barrels,Billions,7.639
United States,Crude oil,Total additions to stock,A,2016,Barrels,Billions,6.684
United States,Crude oil,Extractions,A,2005,Barrels,Billions,1.892
United States,Crude oil,Total additions to stock,A,2015,Barrels,Billions,7.859
United States,Crude oil,Total additions to stock,A,2013,Barrels,Billions,10.719
United States,Crude oil,Total additions to stock,A,2012,Barrels,Billions,10.106
United States,Crude oil,Total additions to stock,A,2011,Barrels,Billions,8.95
United States,Crude oil,Extractions,A,2004,Barrels,Billions,1.991
United States,Crude oil,Closing stock,A,2005,Barrels,Billions,21.757
United States,Crude oil,Closing stock,A,2006,Barrels,Billions,20.972
United States,Crude oil,Closing stock,A,2007,Barrels,Billions,21.317
Australia,Crude oil,Extractions,AB,2016,Barrels,Billions,0.065
United States,Crude oil,Total reductions in stock,A,2009,Barrels,Billions,3.178
United States,Crude oil,Total reductions in stock,A,2008,Barrels,Billions,5.377
United States,Crude oil,Total reductions in stock,A,2007,Barrels,Billions,3.741
United States,Crude oil,Total reductions in stock,A,2006,Barrels,Billions,4.426
United States,Crude oil,Total reductions in stock,A,2005,Barrels,Billions,3.69
Norway,Crude oil,Discrepancies,A,2017,Barrels,Billions,1.46
United States,Crude oil,Total reductions in stock,A,2003,Barrels,Billions,4.561
United States,Crude oil,Total reductions in stock,A,2002,Barrels,Billions,4.106
United States,Crude oil,Total reductions in stock,A,2001,Barrels,Billions,4.406
United States,Crude oil,Total reductions in stock,A,2000,Barrels,Billions,8.542
United States,Crude oil,Downward reappraisals,A,2018,Barrels,Billions,4.92
United States,Crude oil,Downward reappraisals,A,2017,Barrels,Billions,4.022
United States,Crude oil,Downward reappraisals,A,2016,Barrels,Billions,6.332
United States,Crude oil,Downward reappraisals,A,2015,Barrels,Billions,9.977
United States,Crude oil,Downward reappraisals,A,2014,Barrels,Billions,7.151
United States,Crude oil,Downward reappraisals,A,2013,Barrels,Billions,4.839
United States,Crude oil,Downward reappraisals,A,2012,Barrels,Billions,4.118
United States,Crude oil,Total reductions in stock,A,2010,Barrels,Billions,4.294
United States,Crude oil,Total reductions in stock,A,2011,Barrels,Billions,6.102
United States,Crude oil,Total reductions in stock,A,2012,Barrels,Billions,6.498
United States,Crude oil,Total reductions in stock,A,2013,Barrels,Billions,7.564
United States,Crude oil,Closing stock,A,2012,Barrels,Billions,30.529
United States,Crude oil,Closing stock,A,2011,Barrels,Billions,26.544
United States,Crude oil,Closing stock,A,2010,Barrels,Billions,23.267
United States,Crude oil,Closing stock,A,2009,Barrels,Billions,20.682
United States,Crude oil,Closing stock,A,2008,Barrels,Billions,19.121
Australia,Crude oil,Extractions,AB,2014,Barrels,Billions,0.067
Netherlands,Crude oil,Opening stock,B,2015,Barrels,Billions,0.078
United States,Crude oil,Total reductions in stock,A,2004,Barrels,Billions,4.447
Netherlands,Crude oil,Opening stock,B,2013,Barrels,Billions,0.153
Norway,Crude oil,Opening stock,C,2011,Barrels,Billions,0.909
Norway,Crude oil,Opening stock,C,2012,Barrels,Billions,0.91
Norway,Crude oil,Opening stock,C,2013,Barrels,Billions,0.83
Norway,Crude oil,Opening stock,C,2014,Barrels,Billions,1.066
Norway,Crude oil,Opening stock,C,2015,Barrels,Billions,1.107
Norway,Crude oil,Opening stock,C,2016,Barrels,Billions,1.044
Norway,Crude oil,Opening stock,C,2017,Barrels,Billions,0.978
Norway,Crude oil,Discrepancies,C,2009,Barrels,Billions,0.062
Norway,Crude oil,Opening stock,C,2018,Barrels,Billions,0.972
Norway,Crude oil,Closing stock,C,2000,Barrels,Billions,0.123
Norway,Crude oil,Closing stock,C,2001,Barrels,Billions,2.634
Norway,Crude oil,Closing stock,C,2002,Barrels,Billions,2.548
Norway,Crude oil,Opening stock,C,2010,Barrels,Billions,0.348
Norway,Crude oil,Closing stock,C,2003,Barrels,Billions,2.144
Norway,Crude oil,Closing stock,C,2005,Barrels,Billions,0.921
Norway,Crude oil,Closing stock,C,2006,Barrels,Billions,0.014
Norway,Crude oil,Closing stock,C,2007,Barrels,Billions,0.291
Norway,Crude oil,Opening stock,C,2019,Barrels,Billions,0.981
Norway,Crude oil,Discrepancies,C,2010,Barrels,Billions,0.561
Norway,Crude oil,Discrepancies,C,2011,Barrels,Billions,0.0
Norway,Crude oil,Discrepancies,C,2012,Barrels,Billions,-0.08
Australia,Crude oil,Opening stock,AB,2015,Barrels,Billions,0.863
Australia,Crude oil,Opening stock,AB,2016,Barrels,Billions,0.836
Australia,Crude oil,Opening stock,AB,2017,Barrels,Billions,0.816
Australia,Crude oil,Opening stock,AB,2018,Barrels,Billions,0.8
Australia,Crude oil,Opening stock,AB,2019,Barrels,Billions,0.781
Norway,Crude oil,Closing stock,C,2004,Barrels,Billions,0.84
Australia,Crude oil,Extractions,AB,2000,Barrels,Billions,0.207
Norway,Crude oil,Closing stock,C,2008,Barrels,Billions,0.286
Norway,Crude oil,Closing stock,C,2010,Barrels,Billions,0.909
Norway,Crude oil,Discrepancies,A,2015,Barrels,Billions,2.059
Netherlands,Crude oil,Opening stock,B,2014,Barrels,Billions,0.152
Norway,Crude oil,Discrepancies,A,2014,Barrels,Billions,0.252
Norway,Crude oil,Discrepancies,A,2013,Barrels,Billions,0.185
Norway,Crude oil,Discrepancies,A,2012,Barrels,Billions,0.977
United States,Crude oil,Total additions to stock,A,2002,Barrels,Billions,3.699
United States,Crude oil,Total additions to stock,A,2003,Barrels,Billions,3.427
United States,Crude oil,Discrepancies,A,2001,Barrels,Billions,0.199
United States,Crude oil,Total additions to stock,A,2005,Barrels,Billions,3.696
Norway,Crude oil,Closing stock,C,2012,Barrels,Billions,0.83
Norway,Crude oil,Closing stock,C,2013,Barrels,Billions,1.066
Norway,Crude oil,Closing stock,C,2014,Barrels,Billions,1.107
Norway,Crude oil,Closing stock,C,2009,Barrels,Billions,0.348
Norway,Crude oil,Closing stock,C,2015,Barrels,Billions,1.044
Norway,Crude oil,Closing stock,C,2017,Barrels,Billions,0.972
Norway,Crude oil,Closing stock,C,2018,Barrels,Billions,0.981
Norway,Crude oil,Closing stock,C,2019,Barrels,Billions,1.061
Norway,Crude oil,Discrepancies,C,2000,Barrels,Billions,0.098
Norway,Crude oil,Discrepancies,C,2001,Barrels,Billions,2.511
Norway,Crude oil,Discrepancies,C,2002,Barrels,Billions,-0.085
Norway,Crude oil,Discrepancies,C,2003,Barrels,Billions,-0.404
Norway,Crude oil,Discrepancies,C,2004,Barrels,Billions,-1.304
Norway,Crude oil,Discrepancies,C,2005,Barrels,Billions,0.081
Norway,Crude oil,Discrepancies,C,2006,Barrels,Billions,-0.906
Norway,Crude oil,Discrepancies,C,2007,Barrels,Billions,0.276
Norway,Crude oil,Discrepancies,C,2008,Barrels,Billions,-0.005
Norway,Crude oil,Closing stock,C,2016,Barrels,Billions,0.978
Australia,Crude oil,Extractions,AB,2001,Barrels,Billions,0.187
Norway,Crude oil,Closing stock,C,2011,Barrels,Billions,0.91
Australia,Crude oil,Opening stock,AB,2014,Barrels,Billions,0.894
Australia,Crude oil,Opening stock,AB,2010,Barrels,Billions,1.07
Australia,Crude oil,Opening stock,AB,2002,Barrels,Billions,1.267
Australia,Crude oil,Extractions,AB,2013,Barrels,Billions,0.058
Norway,Crude oil,Opening stock,C,2008,Barrels,Billions,0.291
Norway,Crude oil,Opening stock,C,2006,Barrels,Billions,0.921
Norway,Crude oil,Opening stock,B,2005,Barrels,Billions,2.25
Norway,Crude oil,Opening stock,B,2006,Barrels,Billions,2.764
Norway,Crude oil,Opening stock,B,2007,Barrels,Billions,0.943
Norway,Crude oil,Opening stock,B,2008,Barrels,Billions,0.773
Norway,Crude oil,Opening stock,B,2009,Barrels,Billions,1.037
Norway,Crude oil,Opening stock,B,2010,Barrels,Billions,1.013
Norway,Crude oil,Opening stock,B,2012,Barrels,Billions,2.211
Australia,Crude oil,Opening stock,AB,2009,Barrels,Billions,1.111
Norway,Crude oil,Opening stock,B,2013,Barrels,Billions,2.074
Norway,Crude oil,Opening stock,B,2015,Barrels,Billions,1.993
Norway,Crude oil,Opening stock,B,2016,Barrels,Billions,1.995
Norway,Crude oil,Opening stock,B,2017,Barrels,Billions,2.139
Norway,Crude oil,Opening stock,B,2018,Barrels,Billions,1.973
Norway,Crude oil,Opening stock,B,2019,Barrels,Billions,1.339
Norway,Crude oil,Closing stock,B,2000,Barrels,Billions,1.653
Norway,Crude oil,Closing stock,B,2001,Barrels,Billions,2.463
Norway,Crude oil,Opening stock,B,2004,Barrels,Billions,2.871
Norway,Crude oil,Opening stock,B,2003,Barrels,Billions,2.622
Australia,Crude oil,Extractions,AB,2002,Barrels,Billions,0.17
Norway,Crude oil,Opening stock,B,2002,Barrels,Billions,2.463
Norway,Crude oil,Opening stock,B,2001,Barrels,Billions,1.653
Norway,Crude oil,Opening stock,B,2014,Barrels,Billions,2.029
Australia,Crude oil,Opening stock,AB,2008,Barrels,Billions,1.055
Norway,Crude oil,Opening stock,B,2011,Barrels,Billions,2.55
Australia,Crude oil,Opening stock,AB,2006,Barrels,Billions,1.088
Australia,Crude oil,Extractions,AB,2005,Barrels,Billions,0.12
Australia,Crude oil,Extractions,AB,2006,Barrels,Billions,0.122
Australia,Crude oil,Extractions,AB,2003,Barrels,Billions,0.154
Australia,Crude oil,Opening stock,AB,2007,Barrels,Billions,1.031
Australia,Crude oil,Extractions,AB,2007,Barrels,Billions,0.12
Australia,Crude oil,Extractions,AB,2008,Barrels,Billions,0.106
Australia,Crude oil,Extractions,AB,2009,Barrels,Billions,0.104
Australia,Crude oil,Extractions,AB,2010,Barrels,Billions,0.103
Australia,Crude oil,Extractions,AB,2011,Barrels,Billions,0.088
Australia,Crude oil,Extractions,AB,2004,Barrels,Billions,0.134
Norway,Crude oil,Opening stock,C,2009,Barrels,Billions,0.286
Australia,Crude oil,Opening stock,AB,2013,Barrels,Billions,0.902
Australia,Crude oil,Opening stock,AB,2011,Barrels,Billions,0.968
Norway,Crude oil,Discrepancies,C,2013,Barrels,Billions,0.237
Australia,Crude oil,Extractions,AB,2012,Barrels,Billions,0.073
Norway,Crude oil,Discrepancies,C,2014,Barrels,Billions,0.04
Australia,Crude oil,Opening stock,AB,2004,Barrels,Billions,1.167
Australia,Crude oil,Opening stock,AB,2003,Barrels,Billions,1.226
Australia,Crude oil,Opening stock,AB,2001,Barrels,Billions,1.356
Australia,Crude oil,Opening stock,AB,2012,Barrels,Billions,0.907
Australia,Crude oil,Opening stock,AB,2005,Barrels,Billions,1.132
Australia,Crude oil,Opening stock,AB,2000,Barrels,Billions,1.51
Norway,Crude oil,Discrepancies,C,2018,Barrels,Billions,0.009
Norway,Crude oil,Discrepancies,C,2017,Barrels,Billions,-0.005
Norway,Crude oil,Discrepancies,C,2016,Barrels,Billions,-0.066
Norway,Crude oil,Discrepancies,C,2015,Barrels,Billions,-0.063
Norway,Crude oil,Discrepancies,C,2019,Barrels,Billions,0.08
Canada,Gold,Closing stock,A,2009,Tonnes,Units,918.0
Canada,Gold,Closing stock,A,2005,Tonnes,Units,965.0
Canada,Gold,Closing stock,A,2008,Tonnes,Units,947.0
Canada,Gold,Closing stock,A,2007,Tonnes,Units,987.0
Canada,Gold,Closing stock,A,2006,Tonnes,Units,1032.0
Canada,Gold,Closing stock,A,2004,Tonnes,Units,787.0
Canada,Gold,Closing stock,A,2002,Tonnes,Units,1023.0
Canada,Gold,Closing stock,A,2003,Tonnes,Units,1009.0
United States,Gold,Opening stock,A,2017,Tonnes,Units,3000.0
Canada,Gold,Total reductions in stock,A,2016,Tonnes,Units,158.8
Canada,Gold,Closing stock,A,2001,Tonnes,Units,1070.0
Canada,Gold,Closing stock,A,2000,Tonnes,Units,1142.0
Canada,Gold,Closing stock,A,2010,Tonnes,Units,1470.0
United States,Gold,Closing stock,A,2009,Tonnes,Units,3000.0
Canada,Gold,Closing stock,A,2011,Tonnes,Units,2044.0
Canada,Gold,Total reductions in stock,A,2015,Tonnes,Units,160.8
Canada,Gold,Closing stock,A,2013,Tonnes,Units,2140.0
Canada,Gold,Discrepancies,A,2002,Tonnes,Units,104.9
Canada,Gold,Discrepancies,A,2003,Tonnes,Units,126.9
United States,Gold,Opening stock,A,2019,Tonnes,Units,3000.0
Canada,Gold,Discrepancies,A,2001,Tonnes,Units,86.9
Canada,Gold,Discrepancies,A,2004,Tonnes,Units,-92.5
Canada,Gold,Discrepancies,A,2006,Tonnes,Units,170.5
Canada,Gold,Closing stock,A,2012,Tonnes,Units,2148.0
Canada,Gold,Discrepancies,A,2007,Tonnes,Units,57.2
Canada,Gold,Discrepancies,A,2009,Tonnes,Units,67.6
Canada,Gold,Discrepancies,A,2010,Tonnes,Units,654.1
Canada,Gold,Discrepancies,A,2011,Tonnes,Units,676.0
Canada,Gold,Discrepancies,A,2012,Tonnes,Units,210.4
Canada,Gold,Closing stock,A,2015,Tonnes,Units,1983.8
Canada,Gold,Closing stock,A,2014,Tonnes,Units,2069.9
Canada,Gold,Discrepancies,A,2008,Tonnes,Units,54.9
Australia,Gold,Opening stock,AB,2015,Tonnes,Units,9394.5
Australia,Gold,Opening stock,AB,2014,Tonnes,Units,9659.25
Australia,Gold,Opening stock,AB,2018,Tonnes,Units,10020.4
Australia,Gold,Extractions,AB,2017,Tonnes,Units,295.5
Australia,Gold,Extractions,AB,2018,Tonnes,Units,312.15
Australia,Gold,Extractions,AB,2019,Tonnes,Units,321.3
Australia,Gold,Total reductions in stock,AB,2000,Tonnes,Units,299.05
Australia,Gold,Total reductions in stock,AB,2001,Tonnes,Units,282.05
Australia,Gold,Opening stock,AB,2016,Tonnes,Units,9508.5
Australia,Gold,Extractions,AB,2016,Tonnes,Units,288.0
United States,Gold,Discrepancies,A,2006,Tonnes,Units,252.0
United States,Gold,Discrepancies,A,2008,Tonnes,Units,533.0
United States,Gold,Discrepancies,A,2009,Tonnes,Units,223.0
United States,Gold,Discrepancies,A,2010,Tonnes,Units,231.0
Canada,Gold,Discrepancies,A,2000,Tonnes,Units,-30.3
United States,Gold,Discrepancies,A,2011,Tonnes,Units,234.0
United States,Gold,Discrepancies,A,2012,Tonnes,Units,235.0
Australia,Gold,Opening stock,AB,2013,Tonnes,Units,9692.0
Australia,Gold,Opening stock,AB,2017,Tonnes,Units,9819.0
Australia,Gold,Extractions,AB,2015,Tonnes,Units,283.0
Australia,Gold,Extractions,AB,2013,Tonnes,Units,269.5
Australia,Gold,Opening stock,AB,2019,Tonnes,Units,10118.85
Australia,Gold,Extractions,AB,2000,Tonnes,Units,299.05
Australia,Gold,Extractions,AB,2001,Tonnes,Units,282.05
Australia,Gold,Extractions,AB,2002,Tonnes,Units,271.3
Australia,Gold,Extractions,AB,2003,Tonnes,Units,272.5
Australia,Gold,Extractions,AB,2004,Tonnes,Units,265.0
Australia,Gold,Extractions,AB,2014,Tonnes,Units,276.0
Australia,Gold,Extractions,AB,2005,Tonnes,Units,254.5
Australia,Gold,Extractions,AB,2007,Tonnes,Units,230.0
Australia,Gold,Extractions,AB,2008,Tonnes,Units,219.0
Australia,Gold,Extractions,AB,2009,Tonnes,Units,241.5
Australia,Gold,Extractions,AB,2010,Tonnes,Units,259.0
Australia,Gold,Extractions,AB,2011,Tonnes,Units,254.5
Australia,Gold,Extractions,AB,2012,Tonnes,Units,258.0
Australia,Gold,Extractions,AB,2006,Tonnes,Units,245.5
Canada,Gold,Closing stock,A,2016,Tonnes,Units,1910.0
United States,Gold,Opening stock,A,2009,Tonnes,Units,3000.0
Canada,Gold,Total reductions in stock,A,2014,Tonnes,Units,151.5
United States,Gold,Opening stock,A,2004,Tonnes,Units,5600.0
United States,Gold,Opening stock,A,2003,Tonnes,Units,5600.0
Canada,Gold,Opening stock,A,2005,Tonnes,Units,787.0
Canada,Gold,Opening stock,A,2004,Tonnes,Units,1009.0
Canada,Gold,Opening stock,A,2003,Tonnes,Units,1023.0
Canada,Gold,Opening stock,A,2002,Tonnes,Units,1070.0
United States,Gold,Opening stock,A,2005,Tonnes,Units,2700.0
Canada,Gold,Opening stock,A,2001,Tonnes,Units,1142.0
Canada,Gold,Opening stock,A,2008,Tonnes,Units,987.0
United States,Gold,Opening stock,A,2002,Tonnes,Units,5600.0
Canada,Gold,Opening stock,A,2009,Tonnes,Units,947.0
Canada,Gold,Opening stock,A,2010,Tonnes,Units,918.0
Canada,Gold,Opening stock,A,2011,Tonnes,Units,1470.0
Canada,Gold,Discrepancies,A,2016,Tonnes,Units,85.0
Canada,Gold,Opening stock,A,2000,Tonnes,Units,1326.0
Canada,Gold,Extractions,A,2016,Tonnes,Units,158.8
United States,Gold,Opening stock,A,2006,Tonnes,Units,2700.0
Canada,Gold,Discrepancies,A,2015,Tonnes,Units,74.7
United States,Gold,Discrepancies,A,2013,Tonnes,Units,230.0
United States,Gold,Opening stock,A,2000,Tonnes,Units,5600.0
United States,Gold,Opening stock,A,2001,Tonnes,Units,5600.0
Australia,Gold,Discrepancies,AB,2019,Tonnes,Units,349.35
United States,Gold,Opening stock,A,2016,Tonnes,Units,3000.0
Canada,Gold,Opening stock,A,2013,Tonnes,Units,2148.0
United States,Gold,Opening stock,A,2007,Tonnes,Units,2700.0
Canada,Gold,Opening stock,A,2012,Tonnes,Units,2044.0
United States,Gold,Opening stock,A,2014,Tonnes,Units,3000.0
United States,Gold,Opening stock,A,2013,Tonnes,Units,3000.0
United States,Gold,Opening stock,A,2012,Tonnes,Units,3000.0
United States,Gold,Opening stock,A,2011,Tonnes,Units,3000.0
United States,Gold,Opening stock,A,2010,Tonnes,Units,3000.0
United States,Gold,Opening stock,A,2008,Tonnes,Units,2700.0
United States,Gold,Opening stock,A,2015,Tonnes,Units,3000.0
Canada,Gold,Discrepancies,A,2014,Tonnes,Units,81.4
Canada,Gold,Total reductions in stock,A,2004,Tonnes,Units,129.5
Canada,Gold,Extractions,A,2014,Tonnes,Units,151.5
Canada,Gold,Extractions,A,2003,Tonnes,Units,140.9
Canada,Gold,Extractions,A,2002,Tonnes,Units,151.9
Canada,Gold,Extractions,A,2001,Tonnes,Units,158.9
Canada,Gold,Extractions,A,2000,Tonnes,Units,153.7
Canada,Gold,Opening stock,A,2015,Tonnes,Units,2069.9
Canada,Gold,Extractions,A,2010,Tonnes,Units,102.1
Canada,Gold,Extractions,A,2004,Tonnes,Units,129.5
Canada,Gold,Opening stock,A,2014,Tonnes,Units,2140.0
Canada,Gold,Extractions,A,2006,Tonnes,Units,103.5
Canada,Gold,Extractions,A,2007,Tonnes,Units,102.2
Canada,Gold,Extractions,A,2008,Tonnes,Units,94.9
Canada,Gold,Extractions,A,2009,Tonnes,Units,96.6
Canada,Gold,Total reductions in stock,A,2012,Tonnes,Units,106.4
Canada,Gold,Total reductions in stock,A,2013,Tonnes,Units,131.4
Canada,Gold,Extractions,A,2005,Tonnes,Units,119.5
United States,Gold,Opening stock,A,2018,Tonnes,Units,3000.0
Canada,Gold,Opening stock,A,2016,Tonnes,Units,1983.8
Canada,Gold,Discrepancies,A,2013,Tonnes,Units,123.4
Canada,Gold,Extractions,A,2015,Tonnes,Units,160.8
Canada,Gold,Total reductions in stock,A,2000,Tonnes,Units,153.7
Canada,Gold,Total reductions in stock,A,2001,Tonnes,Units,158.9
Canada,Gold,Total reductions in stock,A,2002,Tonnes,Units,151.9
Canada,Gold,Total reductions in stock,A,2003,Tonnes,Units,140.9
Canada,Gold,Total reductions in stock,A,2005,Tonnes,Units,119.5
Canada,Gold,Extractions,A,2012,Tonnes,Units,106.4
Canada,Gold,Total reductions in stock,A,2006,Tonnes,Units,103.5
Canada,Gold,Total reductions in stock,A,2007,Tonnes,Units,102.2
Canada,Gold,Total reductions in stock,A,2008,Tonnes,Units,94.9
Canada,Gold,Total reductions in stock,A,2009,Tonnes,Units,96.6
Canada,Gold,Total reductions in stock,A,2010,Tonnes,Units,102.1
Canada,Gold,Total reductions in stock,A,2011,Tonnes,Units,102.0
Canada,Gold,Extractions,A,2013,Tonnes,Units,131.4
Canada,Gold,Extractions,A,2011,Tonnes,Units,102.0
Canada,Gold,Discrepancies,A,2005,Tonnes,Units,297.5
United States,Gold,Discrepancies,A,2014,Tonnes,Units,210.0
Australia,Gold,Discrepancies,AB,2000,Tonnes,Units,472.3
United States,Gold,Discrepancies,A,2016,Tonnes,Units,232.0
United States,Gold,Extractions,A,2015,Tonnes,Units,214.0
United States,Gold,Total reductions in stock,A,2011,Tonnes,Units,234.0
United States,Gold,Extractions,A,2014,Tonnes,Units,210.0
United States,Gold,Extractions,A,2013,Tonnes,Units,230.0
United States,Gold,Extractions,A,2012,Tonnes,Units,235.0
United States,Gold,Extractions,A,2011,Tonnes,Units,234.0
United States,Gold,Extractions,A,2017,Tonnes,Units,237.0
United States,Gold,Extractions,A,2010,Tonnes,Units,231.0
United States,Gold,Extractions,A,2008,Tonnes,Units,233.0
United States,Gold,Extractions,A,2007,Tonnes,Units,238.0
United States,Gold,Extractions,A,2006,Tonnes,Units,252.0
United States,Gold,Extractions,A,2005,Tonnes,Units,256.0
United States,Gold,Extractions,A,2004,Tonnes,Units,258.0
United States,Gold,Extractions,A,2003,Tonnes,Units,277.0
United States,Gold,Extractions,A,2009,Tonnes,Units,223.0
United States,Gold,Extractions,A,2002,Tonnes,Units,298.0
United States,Gold,Extractions,A,2018,Tonnes,Units,226.0
United States,Gold,Total reductions in stock,A,2000,Tonnes,Units,353.0
United States,Gold,Discrepancies,A,2007,Tonnes,Units,238.0
United States,Gold,Discrepancies,A,2005,Tonnes,Units,256.0
United States,Gold,Extractions,A,2000,Tonnes,Units,353.0
United States,Gold,Extractions,A,2016,Tonnes,Units,232.0
United States,Gold,Total reductions in stock,A,2010,Tonnes,Units,231.0
United States,Gold,Total reductions in stock,A,2009,Tonnes,Units,223.0
United States,Gold,Extractions,A,2019,Tonnes,Units,200.0
United States,Gold,Total reductions in stock,A,2008,Tonnes,Units,233.0
United States,Gold,Total reductions in stock,A,2006,Tonnes,Units,252.0
United States,Gold,Total reductions in stock,A,2005,Tonnes,Units,256.0
United States,Gold,Total reductions in stock,A,2004,Tonnes,Units,258.0
United States,Gold,Total reductions in stock,A,2003,Tonnes,Units,277.0
United States,Gold,Total reductions in stock,A,2002,Tonnes,Units,298.0
